country, penetration 
Afghanistan, 0.059 
Africa, 0.213 
Aland Islands, n/a 
Albania, 0.601 
Algeria, 0.165 
American Samoa, 0.056 
Andorra, 0.940 
Angola, 0.191 
Anguilla, 0.648 
Antarctica, -   
Antigua & Barbuda, 0.811 
Argentina, 0.750 
Armenia, 0.588 
Aruba, 0.789 
Asia, 0.333 
Australia, 0.869 
Austria, 0.806 
Azerbaijan, 0.587 
"Bahamas, The", 0.733 
Bahrain, 0.900 
Bangladesh, 0.245 
Barbados, 0.750 
Belarus, 0.542 
Belgium, 0.822 
Belize, 0.317 
Benin, 0.049 
Bermuda, 0.953 
Bhutan, 0.299 
Bolivia, 0.395 
"Bonaire, St.Eustat, Saba", 0.940 
Bosnia and Herzegovina, 0.679 
Botswana, 0.150 
Bouvet Island, n/a 
Brazil, 0.542 
British Indian Ocean T., n/a 
British Virgin Islands, 0.447 
Brunei Darussalam, 0.754 
Bulgaria, 0.531 
Burkina Faso, 0.044 
Burundi, 0.039 
Cabo Verde, 0.375 
Cambodia, 0.060 
Cameroon, 0.064 
Canada, 0.909 
"Caribbean, the", 0.396 
Cayman Islands, 0.741 
Central African Republic, 0.035 
Central America, 0.438 
Chad, 0.023 
Chile, 0.665 
China, 0.474 
Christmas Island, 0.309 
Cocos (Keeling) Islands, n/a 
Colombia, 0.616 
Comoros, 0.065 
Congo, 0.066 
"Congo, Dem. Rep. of the", 0.022 
Cook Islands, 0.484 
Costa Rica, 0.847 
Cote D'Ivoire, 0.042 
Croatia, 0.709 
Cuba, 0.257 
Curaçao, 0.940 
Cyprus, 0.655 
Czech Republic, 0.741 
