country,population
ÊChina[8],1367270000
ÊIndia,1260890000
ÊUnited States,318901000
ÊIndonesia,252164800
ÊBrazil,203284000
ÊPakistan,188020000
ÊBangladesh,157131000
ÊRussia[9],146149200
ÊJapan,127040000
ÊMexico,119713203
ÊPhilippines,100385600
ÊVietnam,89708900
ÊEthiopia,87952991
ÊEgypt,87309400
ÊGermany,80781000
ÊIran,77811900
ÊTurkey,76667864
ÊDemocratic Republic of the Congo,69360000
ÊFrance[10],66019000
ÊThailand,64871000
ÊUnited Kingdom,64105654
ÊItaly,60780377
ÊSouth Africa,54002000
ÊBurma,51419420
ÊSouth Korea,50423955
ÊColombia,47816300
ÊTanzania,47421786
ÊSpain,46507800
ÊUkraine[11],42981850
ÊArgentina,42669500
ÊKenya,41800000
ÊAlgeria,38700000
ÊPoland,38496000
ÊSudan,37289406
ÊIraq,36004552
ÊCanada,35540419
ÊUganda,35357000
ÊMorocco,33404300
ÊPeru,30814175
ÊSaudi Arabia,30770375
ÊUzbekistan,30492800
ÊMalaysia,30367200
ÊVenezuela,30206307
ÊGhana,27043093
ÊÊÊNepal,26494504
ÊAfghanistan,26023100
ÊYemen,25956000
ÊMozambique,25041922
ÊNorth Korea,25027000
ÊAustralia,23628900
ÊTaiwan[12],23404243
ÊIvory Coast,23202000
ÊSyria,21987000
ÊMadagascar,21263403
ÊCameroon,20386799
ÊSri Lanka,20277597
ÊRomania,19942642
ÊAngola,19813179
ÊChile,17819054
ÊKazakhstan,17330000
ÊBurkina Faso,17322796
ÊNiger,17138707
ÊNetherlands,16872000
ÊEcuador,15845100
ÊGuatemala,15806675
ÊMalawi,15805239
ÊMali,15768000
ÊCambodia,15184116
ÊZambia,15023315
ÊSenegal,13508715
ÊChad,13211000
ÊZimbabwe,13061239
ÊSouth Sudan,11384393
ÊBelgium,11207699
ÊCuba,11167325
ÊRwanda,10996891
ÊGreece,10992589
ÊTunisia,10982754
ÊSomalia[14],10806000
ÊHaiti,10745665
ÊGuinea,10628972
ÊCzech Republic,10521600
ÊPortugal,10477800
ÊDominican Republic,10378267
ÊBolivia,10027254
ÊBenin,9988068
ÊHungary,9879000
ÊSweden,9716962
ÊAzerbaijan,9540400
ÊBurundi,9530434
ÊBelarus,9469200
ÊUnited Arab Emirates,9446000
ÊHonduras,8725111
ÊAustria,8527230
ÊIsrael,8238300
ÊÊSwitzerland,8183800
ÊTajikistan,8161000
ÊPapua New Guinea,7398500
ÊBulgaria,7245677
ÊHong KongÊ(China),7234800
ÊSerbia[15],7146759
ÊTogo,6993000
ÊParaguay,6893727
ÊLaos,6693300
ÊJordan,6642580
ÊEritrea,6536000
ÊEl Salvador,6401240
ÊLibya,6253000
ÊSierra Leone,6205000
ÊNicaragua,6071045
ÊKyrgyzstan,5842600
ÊTurkmenistan,5822188
ÊDenmark,5639719
ÊSingapore,5469700
ÊFinland,5465290
ÊSlovakia,5415949
ÊNorway,5137679
ÊCentral African Republic,4709000
ÊCosta Rica,4667096
ÊIreland,4609600
ÊRepublic of the Congo,4559000
ÊPalestine,4550368
ÊNew Zealand,4533650
ÊGeorgia[16],4490500
ÊLiberia,4397000
ÊCroatia,4267558
ÊOman,4064580
ÊLebanon,4036000
ÊBosnia and Herzegovina,3791622
ÊPanama,3713312
ÊPuerto RicoÊ(USA),3615086
ÊMoldova[17],3557600
ÊMauritania,3545620
ÊUruguay,3404189
ÊKuwait,3065850
ÊArmenia,3009800
ÊMongolia,2977149
ÊLithuania,2927310
ÊAlbania,2895947
ÊJamaica,2717991
ÊQatar,2187326
ÊNamibia,2113077
ÊLesotho,2098000
ÊMacedonia,2065769
ÊSlovenia,2064273
ÊBotswana,2024904
ÊLatvia,1993300
ÊGambia,1882450
ÊKosovo[18],1816891
ÊGuinea-Bissau,1746000
ÊGabon,1711000
ÊTrinidad and Tobago,1328019
ÊBahrain,1316500
ÊEstonia,1315819
ÊEquatorial Guinea,1313000
ÊSwaziland,1268000
ÊMauritius,1261208
ÊTimor-Leste,1212107
ÊDjibouti,886000
ÊFiji,859178
ÊCyprus[19],858000
ÊR_unionÊ(France),840974
ÊGuyana,784894
ÊComoros,763952
ÊBhutan,752760
ÊMontenegro,620029
ÊMacauÊ(China),614500
ÊWestern Sahara[20],586000
ÊSolomon Islands,581344
ÊLuxembourg,549700
ÊSuriname,534189
ÊCape Verde,518467
ÊTransnistria,505153
ÊMalta,416055
ÊGuadeloupeÊ(France),405739
ÊBrunei,393372
ÊMartiniqueÊ(France),386486
ÊBahamas,368390
ÊBelize,349728
ÊMaldives,341848
ÊIceland,327050
ÊNorthern Cyprus,294906
ÊBarbados,285000
ÊFrench PolynesiaÊ(France),268270
ÊVanuatu,264652
ÊNew CaledoniaÊ(France),258958
ÊAbkhazia,240705
ÊFrench GuianaÊ(France),237549
ÊMayotteÊ(France),212645
ÊSamoa,187820
ÊS‹o Tom_ and Pr’ncipe,187356
ÊSaint Lucia,184000
ÊGuamÊ(USA),159358
ÊCuraçaoÊ(Netherlands),150563
ÊSaint Vincent and the Grenadines,109000
ÊKiribati,106461
ÊUnited States Virgin IslandsÊ(USA),106405
ÊGrenada,103328
ÊTonga,103252
ÊArubaÊ(Netherlands),101484
ÊFederated States of Micronesia,101351
ÊJerseyÊ(UK),99000
ÊSeychelles,90945
ÊAntigua and Barbuda,86295
ÊIsle of ManÊ(UK),84497
ÊAndorra,76098
ÊDominica,71293
ÊBermudaÊ(UK),64237
ÊGuernseyÊ(UK),63085
ÊGreenlandÊ(Denmark),56483
ÊMarshall Islands,56086
ÊAmerican SamoaÊ(USA),55519
ÊCayman IslandsÊ(UK),55456
ÊSaint Kitts and Nevis,55000
ÊNorthern Mariana IslandsÊ(USA),53883
ÊSouth Ossetia,51547
ÊFaroe IslandsÊ(Denmark),48456
ÊSint MaartenÊ(Netherlands),37429
ÊLiechtenstein,37132
ÊSaint MartinÊ(France),36979
ÊMonaco,36950
ÊSan Marino,33698
ÊTurks and Caicos IslandsÊ(UK),31458
