country,gini
Albania,0.345
ÿAlgeria,0.353
ÿAngola,0.586
ÿArgentina,0.445
ÿArmenia,0.309
ÿAustralia,0.305
ÿAustria,0.26
ÿAzerbaijan,0.337
ÿBahrain,
ÿBangladesh,0.321
ÿBelarus,0.265
ÿBelgium,0.33
ÿBelize,0.531
ÿBenin,0.386
ÿBhutan,0.381
ÿBolivia,0.563
ÿBotswana,0.61
ÿBrazil,0.547
ÿBulgaria,0.282
ÿBurkina Faso,0.398
ÿBurundi,0.333
ÿCambodia,0.379
ÿCameroon,0.389
ÿCanada,0.326
ÿCape Verde,0.505
ÿCentral African Republic,0.563
ÿChad,0.398
ÿChile,0.521
ÿChina,0.47
ÿColombia,0.559
ÿComoros,0.643
ÿCongo,0.473
ÿCosta Rica,0.507
ÿC“te d'Ivoire,0.415
ÿCroatia,0.337
ÿCuba,
ÿCyprus,
ÿCzech Republic,0.26
ÿDemocratic Republic,0.444
ÿDenmark,0.24
ÿDjibouti,0.4
ÿDominican Republic,0.472
ÿEcuador,0.493
ÿEgypt,0.308
ÿEl Salvador,0.483
ÿEquatorial Guinea,
ÿEstonia,0.36
ÿEthiopia,0.298
ÿEuropean Union,
ÿFiji,0.428
ÿFinland,0.269
ÿFrance,0.327
ÿGabon,0.415
ÿGeorgia,0.413
ÿGermany,0.283
ÿGhana,0.428
ÿGreece,0.343
ÿGuatemala,0.559
ÿGuinea,0.394
ÿGuinea-Bissau,0.355
ÿGuyana,0.445
ÿHaiti,0.592
ÿHonduras,0.57
ÿHong Kong,0.533
ÿHungary,0.312
ÿIceland,
ÿIndia,0.334
ÿIndonesia,0.34
ÿIran,0.383
ÿIraq,0.309
ÿIreland,0.343
ÿIsrael,0.392
ÿItaly,0.36
ÿJamaica,0.455
ÿJapan,0.381
ÿJordan,0.354
ÿKazakhstan,0.29
ÿKenya,0.477
ÿKuwait,
ÿKyrgyzstan,0.362
ÿLaos,0.367
ÿLatvia,0.366
ÿLebanon,
ÿLesotho,0.525
ÿLiberia,0.382
ÿLibya,
ÿLithuania,0.376
ÿLuxembourg,0.308
ÿMacedonia,0.432
ÿMadagascar,0.441
ÿMalawi,0.39
ÿMalaysia,0.462
ÿMaldives,0.374
ÿMali,0.33
ÿMalta,
ÿMauritania,0.405
ÿMauritius,
ÿMexico,0.47
ÿMoldova,0.33
ÿMongolia,0.365
ÿMontenegro,0.3
ÿMorocco,0.409
ÿMozambique,0.457
ÿMyanmar,
ÿNamibia,0.639
ÿNetherlands,0.309
ÿNew Zealand,0.362
ÿNicaragua,0.405
ÿNiger,0.346
ÿNigeria,0.488
ÿNorth Korea,
ÿNorway,0.258
ÿOman,
ÿPakistan,0.3
ÿPalestine,0.355
ÿPanama,0.519
ÿPapua New Guinea,0.509
ÿParaguay,0.524
ÿPeru,0.481
ÿPhilippines,0.43
ÿPoland,0.341
ÿPortugal,0.385
ÿQatar,0.411
ÿRomania,0.3
ÿRussia,0.401
ÿRwanda,0.508
ÿSao Tome and Principe,0.508
ÿSaudi Arabia,
ÿSenegal,0.392
ÿSerbia,0.278
ÿSeychelles,0.658
ÿSierra Leone,0.425
ÿSingapore,0.481
ÿSlovakia,0.26
ÿSlovenia,0.312
ÿSomalia,
ÿSouth Africa,0.631
ÿSouth Korea,0.313
ÿSouth Sudan,0.455
ÿSpain,0.347
ÿSri Lanka,0.403
ÿSt. Lucia,0.426
ÿSudan,0.353
ÿSuriname,0.529
ÿSwaziland,0.515
ÿSweden,0.25
ÿSyria,0.358
ÿTaiwan,
ÿTajikistan,0.308
ÿTanzania,0.376
ÿThailand,0.4
ÿThe Gambia,0.473
ÿTimor-Leste,0.319
ÿTogo,0.344
ÿTrinidad and Tobago,0.403
ÿTunisia,0.414
ÿTurkey,0.39
ÿTurkmenistan,0.408
ÿUganda,0.443
ÿUkraine,0.264
ÿUnited Arab Emirates,
ÿUnited Kingdom,0.34
ÿUnited States,0.48
ÿUruguay,0.397
ÿUzbekistan,0.367
ÿVenezuela,0.448
ÿVietnam,0.356
ÿWorld,
ÿYemen,0.377
ÿZambia,0.546
ÿZimbabwe,0.501
Afghanistan,0.278
Nepal,0.328
of the Congo,
Switzerland,0.337
